DATE,PRICE,VOL
2021-12-16,57.36,9163.22
2021-12-17,58.82,17612.19
2021-12-18,66.24,15787.82
2021-12-19,69.87,13123.23
2021-12-20,72.83,31510.57
2021-12-21,77.5,29163.62
2021-12-22,75.4,51013.85
2021-12-23,83.0,30802.77
2021-12-24,84.78,23544.09
2021-12-25,87.1,7375.18
2021-12-26,88.1,11402.97
2021-12-27,80.28,44370.24
2021-12-28,75.41,28606.08
2021-12-29,74.12,25293.58
2021-12-30,74.87,28518.06
2021-12-31,75.24,20553.95
2022-01-01,80.57,6961.7
2022-01-02,78.66,8503.24
2022-01-03,78.65,16763.93
2022-01-04,75.01,15802.09
2022-01-05,69.47,23189.71
2022-01-06,69.4,17608.25
2022-01-07,60.58,32397.53
2022-01-08,58.86,19406.18
2022-01-09,65.65,25402.07
2022-01-10,61.2,28341.02
2022-01-11,64.67,28154.56
2022-01-12,71.67,34416.16
2022-01-13,67.97,25631.72
2022-01-14,71.66,20586.34
2022-01-15,76.62,18094.23
2022-01-16,76.35,11025.47
2022-01-17,67.72,14870.53
2022-01-18,71.2,25584.33
2022-01-19,71.58,21142.5
2022-01-20,68.52,21215.71
2022-01-21,57.44,40163.03
2022-01-22,55.53,75625.46
2022-01-23,61.61,29999.95
2022-01-24,58.28,53131.25
2022-01-25,55.81,27168.36
2022-01-26,52.34,65376.79
2022-01-27,48.51,42034.53
2022-01-28,45.19,135886.93
2022-01-29,45.75,26172.13
2022-01-30,41.56,25179.45
2022-01-31,46.43,58617.28
2022-02-01,46.27,52966.84
2022-02-02,42.19,30140.36
2022-02-03,44.7,34518.73
2022-02-04,47.18,51906.79
2022-02-05,48.44,27479.16
2022-02-06,49.08,18330.45
2022-02-07,52.11,74683.79
2022-02-08,50.15,31100.46
2022-02-09,50.39,24164.33
2022-02-10,45.8,32320.37
2022-02-11,44.37,41783.7
2022-02-12,46.04,12039.54
2022-02-13,45.6,11336.83
2022-02-14,47.66,35737.1
2022-02-15,50.01,11849.82
2022-02-16,49.27,11137.0
2022-02-17,44.29,12798.97
2022-02-18,44.9,11664.32
2022-02-19,44.6,8321.08
2022-02-20,43.53,14516.34
2022-02-21,44.27,37371.37
2022-02-22,48.38,43683.58
2022-02-23,52.53,93910.97
2022-02-24,58.28,77195.28
2022-02-25,64.87,41829.2
2022-02-26,69.36,32991.83
2022-02-27,65.0,33365.15
2022-02-28,81.46,55808.35
2022-03-01,80.53,48537.09
2022-03-02,83.03,46181.78
2022-03-03,81.72,23767.85
2022-03-04,76.09,30628.09
2022-03-05,80.17,21748.0
2022-03-06,72.7,11994.13
2022-03-07,71.66,23094.7
2022-03-08,78.55,24875.65
2022-03-09,89.7,60961.47
2022-03-10,91.95,44658.85
2022-03-11,80.95,33603.37
2022-03-12,78.85,21104.08
2022-03-13,80.01,16813.17
2022-03-14,86.79,30380.56
2022-03-15,80.72,20406.53
2022-03-16,80.96,25049.6
2022-03-17,78.21,21132.3
2022-03-18,80.16,35598.23
2022-03-19,83.31,24320.24
2022-03-20,82.01,12859.77
2022-03-21,86.92,37426.2
2022-03-22,84.43,23571.41
2022-03-23,86.08,42968.9
2022-03-24,85.25,26386.12
2022-03-25,82.32,19176.39
2022-03-26,83.19,5801.15
2022-03-27,85.72,16303.54
2022-03-28,88.44,35970.4
2022-03-29,98.29,44201.02
2022-03-30,94.81,39631.94
2022-03-31,93.13,30016.06
2022-04-01,95.84,22129.21
2022-04-02,104.12,40512.4
2022-04-03,102.28,22138.42
2022-04-04,105.97,23024.17
2022-04-05,106.64,29015.05
2022-04-06,98.94,39039.21
2022-04-07,95.22,18248.5
2022-04-08,86.95,30957.87
2022-04-09,89.71,17565.0
2022-04-10,84.39,10343.09
2022-04-11,75.76,46493.91
2022-04-12,78.04,28089.24
2022-04-13,80.52,24142.09
2022-04-14,75.37,24729.34
2022-04-15,74.33,10661.96
2022-04-16,75.0,5615.59
2022-04-17,71.5,11299.56
2022-04-18,84.53,30869.79
2022-04-19,88.6,39785.43
2022-04-20,87.53,23051.99
2022-04-21,83.72,23180.03
2022-04-22,86.88,24090.99
2022-04-23,82.83,13022.02
2022-04-24,83.78,12269.29
2022-04-25,90.33,28956.79
2022-04-26,83.15,21586.12
2022-04-27,84.35,13243.0
2022-04-28,84.75,15145.02
2022-04-29,80.65,11657.22
2022-04-30,74.16,16308.49
2022-05-01,78.05,15597.07
2022-05-02,80.18,15256.1
2022-05-03,78.76,10251.64
2022-05-04,81.09,20755.36
2022-05-05,78.23,23336.37
2022-05-06,73.33,33741.32
2022-05-07,64.49,42760.18
2022-05-08,60.57,57299.72
2022-05-09,28.86,274300.1
2022-05-10,16.52,1351280.5
2022-05-11,1.02,26626844.08
2022-05-12,0.0083,1700725236.47
2022-05-13,0.00012,14434517301.29
2022-05-14,0.00045,18451438170.97
2022-05-15,0.00022,10537751477.95
2022-05-16,0.00019,12806966404.74
2022-05-17,0.00018,7915825948.89
2022-05-18,0.00015,6695698939.46
2022-05-19,0.00013,5045489491.74
2022-05-20,0.00012,2566516016.66
2022-05-21,0.00012,3638523865.69
2022-05-22,0.00019,9773171968.0
2022-05-23,0.00015,5853948099.37
2022-05-24,0.00017,2864177712.09
2022-05-25,0.00018,3625647380.04
2022-05-26,0.00012789,4934817527.42
2022-05-27,0.00011277,15202748164.68
2022-05-28,8.56e-05,20338526751.5
2022-05-29,9.78e-05,11964739866.8
2022-05-30,0.00011573,35379132667.53
2022-05-31,0.00010703,8369473621.55
2022-06-01,9.24e-05,6843595675.24
2022-06-02,9.432e-05,3106376605.53
2022-06-03,8.902e-05,2380328398.48
2022-06-04,8.643e-05,1863723527.39
2022-06-05,7.461e-05,5275293048.94
2022-06-06,7.546e-05,3573510084.4
2022-06-07,5.855e-05,4956494810.59
2022-06-08,4.331e-05,8292766754.41
2022-06-09,7.171e-05,25529782972.88
2022-06-10,6.736e-05,6173372265.53
2022-06-11,6.599e-05,4251201930.9
2022-06-12,6.678e-05,5202622571.61
2022-06-13,5.8e-05,8122155035.44
2022-06-14,5.818e-05,5604429614.54
2022-06-15,5.914e-05,9074755613.11
2022-06-16,5.488e-05,2546959148.31
2022-06-17,5.61e-05,2278544619.86
2022-06-18,5.262e-05,5983474702.79
2022-06-19,5.827e-05,4387957672.47
2022-06-20,5.517e-05,3050999951.61
2022-06-21,5.476e-05,3807655470.54
2022-06-22,5.342e-05,2834043891.96
2022-06-23,5.466e-05,2333369073.16
2022-06-24,5.592e-05,2778879112.95
2022-06-25,5.577e-05,2114088713.78
2022-06-26,6.243e-05,8414237523.87
2022-06-27,8.417e-05,25324371980.71
2022-06-28,0.00010215,12112195557.34
2022-06-29,0.0001542,27177263858.08
2022-06-30,0.00010809,21116638531.14
2022-07-01,0.00012561,9807093957.04
2022-07-02,0.00011858,7904204734.1
2022-07-03,0.000126,3341994981.7
2022-07-04,0.00012241,2391593161.91
2022-07-05,0.00011341,5136678870.26
2022-07-06,0.00010972,2290002004.32
2022-07-07,0.00010976,3051460558.04
2022-07-08,0.000108,1651287356.2
2022-07-09,0.00010856,1490880083.73
2022-07-10,0.00010901,9693625055.73
2022-07-11,0.00010451,1964716161.82
2022-07-12,9.17e-05,4564769115.67
2022-07-13,9.445e-05,5050623771.1
2022-07-14,9.196e-05,4446074369.31
2022-07-15,0.00010672,5557491576.16
2022-07-16,0.00010487,2099069447.8
2022-07-17,0.00010086,1577785120.21
2022-07-18,0.0001046,3004126408.51
2022-07-19,0.00010386,2253928804.26
2022-07-20,9.922e-05,2917806790.52
2022-07-21,0.00010172,2621553744.04
2022-07-22,9.846e-05,1385738602.85
2022-07-23,9.825e-05,1758093490.36
2022-07-24,9.791e-05,574777824.49
2022-07-25,8.995e-05,1476681784.46
2022-07-26,9.068e-05,1952714752.56
2022-07-27,9.687e-05,3852978855.19
2022-07-28,9.839e-05,4940296983.94
2022-07-29,9.677e-05,1507414535.33
2022-07-30,9.602e-05,1379630205.85
2022-07-31,9.597e-05,1522629513.68
2022-08-01,0.00010211,5479083106.79
2022-08-02,9.857e-05,1710198062.25
2022-08-03,9.865e-05,689495903.45
2022-08-04,9.695e-05,835074352.4
2022-08-05,9.891e-05,1037616320.61
2022-08-06,9.835e-05,715146116.96
2022-08-07,9.772e-05,585124317.93
2022-08-08,9.761e-05,653355798.5
2022-08-09,9.516e-05,2573175185.71
2022-08-10,9.574e-05,1368145386.39
2022-08-11,9.399e-05,1053984483.34
2022-08-12,9.534e-05,1530796798.45
2022-08-13,9.447e-05,632704149.37
2022-08-14,9.736e-05,2946966228.19
2022-08-15,9.531e-05,2540484552.74
2022-08-16,9.548e-05,821843605.34
2022-08-17,9.345e-05,1287640427.19
2022-08-18,9.272e-05,1835821382.19
2022-08-19,8.563e-05,2448988776.85
2022-08-20,8.778e-05,973274037.3
2022-08-21,9.01e-05,1560319164.54
2022-08-22,9.227e-05,1463756679.02
2022-08-23,0.00010663,8191166669.75
2022-08-24,0.00010035,2868251152.31
2022-08-25,0.00013189,14351711709.16
2022-08-26,0.00012382,11948424536.67
2022-08-27,0.0001344,11152429118.02
2022-08-28,0.00012604,7168186277.73
2022-08-29,0.00013157,4934643551.87
2022-08-30,0.00015817,10315670377.11
2022-08-31,0.00022107,16181880068.06
2022-09-01,0.00027626,36247336900.34
2022-09-02,0.0002429,17735262390.18
2022-09-03,0.00026197,5311708224.85
2022-09-04,0.00025612,3341452835.3
2022-09-05,0.00040712,17591922396.47
2022-09-06,0.0003834,22218168756.81
2022-09-07,0.00043973,21017812063.74
2022-09-08,0.00051661,25989202821.0
2022-09-09,0.00042858,25649189350.65
2022-09-10,0.00043338,10218257182.51
2022-09-11,0.00042957,5271668810.48
2022-09-12,0.00029504,18357748001.86
2022-09-13,0.00036017,13467321583.72
2022-09-14,0.00029949,12924411153.37
2022-09-15,0.00025883,10249398802.11
2022-09-16,0.00030156,12457960864.27
2022-09-17,0.00031087,6674703316.53
2022-09-18,0.00027095,5878837697.68
2022-09-19,0.00031054,7897620868.66
2022-09-20,0.00030199,4083919619.56
2022-09-21,0.00028979,6090574602.13
2022-09-22,0.00028073,3748394315.78
2022-09-23,0.00026493,8975221371.7
2022-09-24,0.00023257,6537570773.7
2022-09-25,0.00020213,7795006517.29
2022-09-26,0.00032152,26429854569.08
2022-09-27,0.00028984,6160164922.17
2022-09-28,0.00028328,5243344562.41
2022-09-29,0.00028813,3216279980.46
2022-09-30,0.00031078,5125768825.01
2022-10-01,0.0003418,4070808735.0
2022-10-02,0.00034122,10273222618.91
2022-10-03,0.0003164,12030226550.2
2022-10-04,0.00030824,4095772625.4
2022-10-05,0.0003037,2552330658.89
2022-10-06,0.00029176,1778000661.47
2022-10-07,0.00029756,2746771335.06
2022-10-08,0.00030356,1795514086.92
2022-10-09,0.00031547,1453351398.24
2022-10-10,0.0002971,4830178364.06
2022-10-11,0.00028911,4139230361.38
2022-10-12,0.0002951,2406469202.0
2022-10-13,0.00028387,4183472947.92
2022-10-14,0.00027995,2311407533.76
2022-10-15,0.00027207,1434163044.55
2022-10-16,0.00027139,1434129201.98
2022-10-17,0.00026823,1665440977.48
2022-10-18,0.0002563,2670623828.85
2022-10-19,0.00025864,3594592386.5
2022-10-20,0.0002414,2264085796.82
2022-10-21,0.00024027,2189910431.69
2022-10-22,0.00023622,1723501103.15
2022-10-23,0.000242,2828038398.73
2022-10-24,0.00023316,1199716221.87
2022-10-25,0.00023807,2144079186.73
2022-10-26,0.00024127,2124185794.28
2022-10-27,0.0002412,2274868961.83
2022-10-28,0.0002437,1727418320.3
2022-10-29,0.00023767,3388984907.44
2022-10-30,0.00025034,5604705153.71
2022-10-31,0.00024411,2505723250.93
2022-11-01,0.00022166,4899267901.56
2022-11-02,0.00021695,3641181430.28
2022-11-03,0.00022428,2199513556.31
2022-11-04,0.00026094,3419050677.34
2022-11-05,0.00024644,2348957788.72
2022-11-06,0.00023319,2415318617.53
2022-11-07,0.00023467,2042636955.36
2022-11-08,0.00018971,7786034788.56
2022-11-09,0.00017889,11092049906.91
2022-11-10,0.00018979,5064008835.8
2022-11-11,0.00018147,3480151173.25
2022-11-12,0.00017476,1148772201.94
2022-11-13,0.00016118,794874121.77
2022-11-14,0.00016712,2081220867.8
2022-11-15,0.00017617,1246900129.1
2022-11-16,0.00017236,1098574730.72
2022-11-17,0.00016601,662781021.86
2022-11-18,0.00017112,793308403.42
2022-11-19,0.00016811,414894856.14
2022-11-20,0.00015381,902264762.88
2022-11-21,0.00014753,1412369062.16
2022-11-22,0.00015657,1562064659.69
2022-11-23,0.00015758,2349443280.21
2022-11-24,0.00015572,779173753.33
2022-11-25,0.00015246,984475206.93
2022-11-26,0.00015256,622321474.94
2022-11-27,0.00015582,924914044.54
2022-11-28,0.00015272,975637626.71
2022-11-29,0.00015422,679865303.49
2022-11-30,0.00015783,884137674.28
2022-12-01,0.00015954,1412668806.14
2022-12-02,0.00017144,2945041898.13
2022-12-03,0.00016353,1010462466.31
2022-12-04,0.00016732,716495598.6
2022-12-05,0.00016568,612198656.43
2022-12-06,0.00016346,877787378.58
2022-12-07,0.00015728,734769781.47
2022-12-08,0.00016436,1568618333.26
2022-12-09,0.00016311,451967753.73
2022-12-10,0.00016168,437712997.51
2022-12-11,0.00015894,273166450.29
2022-12-12,0.00016137,1042129838.0
2022-12-13,0.00015771,956105288.1
2022-12-14,0.00015514,456753375.6
2022-12-15,0.00015159,624644431.92
2022-12-16,0.00013056,1776017367.85
2022-12-17,0.00013551,1363998941.11
2022-12-18,0.00013329,352260028.42
2022-12-19,0.00012386,1603422768.55
2022-12-20,0.00012777,1439919354.08
2022-12-21,0.00012181,1083806752.11
2022-12-22,0.00012892,1591742831.87
2022-12-23,0.00013835,1080742280.69
2022-12-24,0.00013795,806696314.1
2022-12-25,0.00013763,518080712.86
2022-12-26,0.00015223,1634984747.65
2022-12-27,0.00016282,5299438617.5
2022-12-28,0.000138,2848642080.97
2022-12-29,0.00014131,1492996708.26
2022-12-30,0.00013398,1786144328.23
2022-12-31,0.00013589,742383553.9
2023-01-01,0.00014109,588937086.62
2023-01-02,0.00014934,1766418096.67
2023-01-03,0.00014836,1975052542.02
2023-01-04,0.00014914,899519983.49
2023-01-05,0.0001456,763604434.14
2023-01-06,0.00014675,1072857238.04
2023-01-07,0.00014384,406382108.23
2023-01-08,0.00014817,518265010.78
2023-01-09,0.00015822,2459939834.69
2023-01-10,0.00015504,1066586751.9
2023-01-11,0.00015337,1159040137.57
2023-01-12,0.00015443,1033008476.94
2023-01-13,0.0001628,1537301446.0
2023-01-14,0.00016288,4709498280.43
2023-01-15,0.00016681,2453349704.54
2023-01-16,0.00016312,1621039562.07
2023-01-17,0.00016175,1066144032.94
2023-01-18,0.00014926,2705209144.14
2023-01-19,0.00016037,2455840888.99
2023-01-20,0.0001649,1885128882.78
2023-01-21,0.00016404,2515442994.97
2023-01-22,0.00016703,1749543421.13
2023-01-23,0.00016403,1079662876.4
2023-01-24,0.00015544,1408576254.79
2023-01-25,0.00015917,1348413095.2
2023-01-26,0.00015716,585976765.81
2023-01-27,0.00015852,656180196.82
2023-01-28,0.00015912,715283938.91
2023-01-29,0.0001615,668242842.65
2023-01-30,0.00015159,1336958073.68
2023-01-31,0.00015754,1003073105.93
2023-02-01,0.00015507,1236518674.45
2023-02-02,0.00015444,2344619174.19
2023-02-03,0.00018731,6904951236.13
2023-02-04,0.00017764,2525037062.08
2023-02-05,0.00016806,2061803264.78
2023-02-06,0.00016918,975691749.68
2023-02-07,0.00017354,1065095428.33
2023-02-08,0.00016819,1168344096.08
2023-02-09,0.00014926,2700693430.27
2023-02-10,0.00015496,1368374732.08
2023-02-11,0.00015734,434510597.33
2023-02-12,0.00015445,803543145.54
2023-02-13,0.00015776,1359346063.65
2023-02-14,0.00015802,658802549.26
2023-02-15,0.00016418,1238364309.44
2023-02-16,0.00015535,1877213288.82
2023-02-17,0.0001587,1267237962.73
2023-02-18,0.00016054,694320475.82
2023-02-19,0.00015669,609843504.42
2023-02-20,0.00015863,508045889.4
2023-02-21,0.00015527,637093703.8
2023-02-22,0.000154,1127936241.68
2023-02-23,0.00015284,875650875.57
2023-02-24,0.00015581,2256833731.42
2023-02-25,0.0001528,881956817.14
2023-02-26,0.00015409,596862415.26
2023-02-27,0.00015173,1166049160.64
2023-02-28,0.00015419,972861853.95
2023-03-01,0.00015505,616857702.73
2023-03-02,0.00016,2688811320.26
2023-03-03,0.00014211,3680093692.8
2023-03-04,0.00013685,856553896.79
2023-03-05,0.00013551,433687958.4
2023-03-06,0.00013664,596175155.88
2023-03-07,0.00013431,1205271828.92
2023-03-08,0.00012371,4347390528.43
2023-03-09,0.0001219,2515392431.98
2023-03-10,0.00011641,2301571969.16
2023-03-11,0.0001125,2461094440.5
2023-03-12,0.00011904,755243914.16
2023-03-13,0.00012127,2494210361.59
2023-03-14,0.00012333,5092751073.44
