DATE,PRICE
2021-06-01,2.66
2021-06-02,3.32
2021-06-03,3.76
2021-06-04,3.19
2021-06-05,2.86
2021-06-06,2.84
2021-06-07,2.67
2021-06-08,2.45
2021-06-09,2.51
2021-06-10,2.17
2021-06-11,2.04
2021-06-12,1.89
2021-06-13,2.36
2021-06-14,2.36
2021-06-15,2.23
2021-06-16,2.04
2021-06-17,1.94
2021-06-18,1.89
2021-06-19,1.75
2021-06-20,1.69
2021-06-21,1.23
2021-06-22,1.21
2021-06-23,1.51
2021-06-24,1.49
2021-06-25,1.25
2021-06-26,1.17
2021-06-27,1.23
2021-06-28,1.21
2021-06-29,1.34
2021-06-30,1.3
2021-07-01,1.2
2021-07-02,1.18
2021-07-03,1.25
2021-07-04,1.2
2021-07-05,1.11
2021-07-06,1.15
2021-07-07,1.16
2021-07-08,1.07
2021-07-09,1.1
2021-07-10,1.03
2021-07-11,1.06
2021-07-12,1.01
2021-07-13,0.98
2021-07-14,0.98
2021-07-15,0.95
2021-07-16,0.9
2021-07-17,0.95
2021-07-18,0.91
2021-07-19,0.89
2021-07-20,0.81
2021-07-21,0.91
2021-07-22,0.93
2021-07-23,1.11
2021-07-24,1.13
2021-07-25,1.22
2021-07-26,1.21
2021-07-27,1.21
2021-07-28,1.18
2021-07-29,1.16
2021-07-30,1.26
2021-07-31,1.39
2021-08-01,1.31
2021-08-02,1.53
2021-08-03,1.6
2021-08-04,2.24
2021-08-05,1.93
2021-08-06,2.0
2021-08-07,2.12
2021-08-08,1.9
2021-08-09,2.11
2021-08-10,2.75
2021-08-11,2.48
2021-08-12,2.44
2021-08-13,2.66
2021-08-14,2.54
2021-08-15,2.67
2021-08-16,2.87
2021-08-17,2.72
2021-08-18,2.65
2021-08-19,2.78
2021-08-20,2.77
2021-08-21,2.69
2021-08-22,2.67
2021-08-23,2.68
2021-08-24,2.46
2021-08-25,2.51
2021-08-26,2.3
2021-08-27,2.51
2021-08-28,2.47
2021-08-29,2.46
2021-08-30,2.75
2021-08-31,3.05
2021-09-01,3.48
2021-09-02,3.34
2021-09-03,3.22
2021-09-04,3.2
2021-09-05,3.57
2021-09-06,3.48
2021-09-07,3.2
2021-09-08,3.36
2021-09-09,4.78
2021-09-10,4.76
2021-09-11,4.41
2021-09-12,4.34
2021-09-13,4.9
2021-09-14,5.2
2021-09-15,5.06
2021-09-16,4.86
2021-09-17,4.42
2021-09-18,4.52
2021-09-19,4.59
2021-09-20,3.85
2021-09-21,3.58
2021-09-22,4.03
2021-09-23,4.11
2021-09-24,3.64
2021-09-25,3.54
2021-09-26,3.75
2021-09-27,3.55
2021-09-28,3.37
2021-09-29,3.42
2021-09-30,3.51
2021-10-01,3.92
2021-10-02,3.85
2021-10-03,3.88
2021-10-04,3.68
2021-10-05,4.05
2021-10-06,3.96
2021-10-07,3.97
2021-10-08,3.89
2021-10-09,3.85
2021-10-10,3.61
2021-10-11,3.65
2021-10-12,3.63
2021-10-13,3.61
2021-10-14,3.75
2021-10-15,3.62
2021-10-16,3.6
2021-10-17,3.53
2021-10-18,3.51
2021-10-19,3.46
2021-10-20,3.69
2021-10-21,3.61
2021-10-22,3.62
2021-10-23,3.62
2021-10-24,3.96
2021-10-25,4.15
2021-10-26,4.26
2021-10-27,3.81
2021-10-28,3.99
2021-10-29,4.01
2021-10-30,3.85
2021-10-31,3.85
2021-11-01,3.83
2021-11-02,3.91
2021-11-03,3.83
2021-11-04,3.71
2021-11-05,3.71
2021-11-06,3.69
2021-11-07,3.82
2021-11-08,3.78
2021-11-09,3.69
2021-11-10,4.47
2021-11-11,5.14
2021-11-12,4.93
2021-11-13,4.78
2021-11-14,4.67
2021-11-15,4.47
2021-11-16,3.95
2021-11-17,4.11
2021-11-18,3.67
2021-11-19,4.19
2021-11-20,4.11
2021-11-21,3.96
2021-11-22,3.89
2021-11-23,3.99
2021-11-24,4.66
2021-11-25,4.49
2021-11-26,4.04
2021-11-27,4.17
2021-11-28,4.23
2021-11-29,4.27
2021-11-30,4.02
2021-12-01,4.02
2021-12-02,3.86
2021-12-03,3.73
2021-12-04,3.39
2021-12-05,3.1
2021-12-06,3.39
2021-12-07,3.46
2021-12-08,3.51
2021-12-09,3.16
2021-12-10,3.05
2021-12-11,3.19
2021-12-12,3.21
2021-12-13,2.84
2021-12-14,2.87
2021-12-15,3.12
2021-12-16,2.93
2021-12-17,2.85
2021-12-18,2.88
2021-12-19,2.83
2021-12-20,2.79
2021-12-21,2.88
2021-12-22,2.93
2021-12-23,3.27
2021-12-24,3.13
2021-12-25,3.19
2021-12-26,3.37
2021-12-27,3.42
2021-12-28,3.11
2021-12-29,2.94
2021-12-30,3.17
2021-12-31,3.11
2022-01-01,3.28
2022-01-02,3.31
2022-01-03,3.16
2022-01-04,3.27
2022-01-05,3.44
2022-01-06,3.25
2022-01-07,2.95
2022-01-08,2.85
2022-01-09,2.94
2022-01-10,2.83
2022-01-11,3.04
2022-01-12,3.15
2022-01-13,2.87
2022-01-14,3.04
2022-01-15,3.07
2022-01-16,3.07
2022-01-17,3.01
2022-01-18,3.04
2022-01-19,2.98
2022-01-20,2.97
2022-01-21,2.57
2022-01-22,2.07
2022-01-23,2.16
2022-01-24,2.07
2022-01-25,2.06
2022-01-26,2.06
2022-01-27,2.01
2022-01-28,2.07
2022-01-29,2.09
2022-01-30,2.03
2022-01-31,2.13
2022-02-01,2.36
2022-02-02,2.17
2022-02-03,2.18
2022-02-04,2.37
2022-02-05,2.53
2022-02-06,2.63
2022-02-07,2.7
2022-02-08,2.65
2022-02-09,2.58
2022-02-10,2.41
2022-02-11,2.24
2022-02-12,2.22
2022-02-13,2.09
2022-02-14,2.38
2022-02-15,2.44
2022-02-16,2.33
2022-02-17,2.25
2022-02-18,2.15
2022-02-19,2.12
2022-02-20,2.19
2022-02-21,1.91
2022-02-22,1.94
2022-02-23,1.88
2022-02-24,1.76
2022-02-25,1.85
2022-02-26,1.81
2022-02-27,1.75
2022-02-28,1.99
2022-03-01,1.95
2022-03-02,1.92
2022-03-03,1.84
2022-03-04,1.84
2022-03-05,1.85
2022-03-06,1.76
2022-03-07,1.69
2022-03-08,1.68
2022-03-09,1.72
2022-03-10,1.64
2022-03-11,1.59
2022-03-12,1.57
2022-03-13,1.5
2022-03-14,1.53
